"CONTROLN","TARGET_B"
11,0
19,1
23,0
25,0
28,0
33,0
34,0
35,0
45,0
59,0
64,0
69,0
74,0
75,0
78,0
79,0
83,0
89,0
90,0
92,0
125,0
133,0
135,0
160,0
164,0
176,0
177,0
187,0
193,0
203,0
214,0
216,0
221,0
224,0
232,0
235,0
237,0
240,0
243,0
246,0
259,0
260,0
270,0
290,0
293,0
306,0
308,0
314,0
326,0
332,0
340,0
344,0
351,0
355,0
370,0
371,0
374,0
390,0
391,0
399,0
404,0
410,0
414,0
419,0
434,0
447,0
454,0
459,0
460,0
467,0
468,0
479,0
480,0
481,0
495,0
496,0
497,0
502,0
508,0
522,0
529,0
531,0
541,0
549,0
562,0
565,0
567,0
570,0
574,0
580,0
584,0
586,0
593,0
594,0
597,0
604,0
610,0
620,0
623,0
643,0
651,0
655,0
656,0
659,0
664,0
674,0
679,0
680,0
682,0
688,0
693,0
695,0
697,0
705,0
707,0
709,0
722,0
723,0
725,0
728,0
730,0
734,0
749,0
755,0
758,0
762,0
770,0
776,0
781,0
784,0
800,0
807,0
810,0
815,0
837,0
842,0
848,0
849,0
850,0
855,0
868,0
883,0
884,0
885,0
889,0
904,0
918,0
938,0
940,0
949,0
953,0
955,0
961,0
962,0
965,0
973,0
983,0
986,0
995,0
998,0
1004,0
1010,0
1017,0
1023,0
1025,0
1026,0
1032,0
1039,0
1041,0
1052,0
1059,0
1069,0
1070,0
1081,0
1082,0
1083,0
1093,0
1105,0
1108,0
1113,0
1122,0
1123,0
1127,0
1130,0
1139,0
1153,0
1162,0
1167,0
1175,0
1181,0
1183,0
1197,0
1200,0
1205,0
1213,0
1220,0
1221,0
1234,0
1235,0
1237,0
1250,0
1253,0
1276,0
1281,0
1282,0
1284,0
1286,0
1300,0
1306,0
1307,0
1317,0
1327,0
1342,0
1343,0
1346,0
1366,0
1381,0
1384,0
1391,0
1399,0
1415,0
1426,0
1432,0
1433,0
1446,0
1459,0
1471,0
1484,0
1491,0
1498,0
1504,0
1514,0
1516,0
1520,0
1521,0
1525,0
1530,0
1531,0
1532,0
1540,0
1543,0
1555,0
1572,0
1573,0
1576,0
1581,0
1595,0
1600,0
1602,0
1613,0
1616,0
1619,0
1622,0
1626,0
1627,0
1641,0
1642,0
1649,0
1650,0
1657,0
1662,0
1670,0
1676,0
1686,0
1697,0
1699,0
1707,0
1708,0
1710,0
1711,0
1712,0
1714,0
1716,0
1717,0
1732,0
1733,0
1757,0
1764,0
1769,0
1778,0
1782,0
1790,0
1796,0
1798,0
1811,0
1814,0
1817,0
1823,0
1824,0
1834,0
1839,0
1846,0
1847,0
1856,0
1872,0
1885,0
1887,0
1890,0
1892,0
1894,0
1903,0
1905,0
1907,0
1915,0
1921,0
1923,0
1937,0
1940,0
1943,0
1944,0
1949,0
1993,0
1996,0
2000,0
2002,0
2010,0
2014,0
2026,0
2032,0
2039,0
2056,0
2069,0
2073,0
2074,0
2084,0
2086,0
2091,0
2096,0
2106,0
2111,0
2119,0
2121,0
2122,0
2131,0
2133,0
2135,0
2142,0
2149,0
2150,0
2160,0
2164,0
2172,0
2182,0
2189,0
2190,0
2200,0
2202,0
2209,0
2218,0
2228,0
2236,0
2256,0
2264,0
2267,0
2275,0
2293,0
2301,0
2302,0
2305,0
2310,0
2322,0
2332,0
2335,0
2337,0
2343,0
2346,0
2349,0
2350,0
2354,0
2361,0
2385,0
2386,0
2403,0
2404,0
2413,0
2421,0
2428,0
2429,0
2432,0
2449,0
2455,0
2457,0
2462,0
2472,0
2498,0
2500,0
2506,0
2507,0
2508,0
2513,0
2527,0
2530,0
2533,0
2536,0
2545,0
2548,0
2553,0
2563,0
2564,0
2571,0
2581,0
2585,0
2588,0
2598,0
2600,0
2611,0
2620,0
2630,0
2631,0
2633,0
2655,0
2661,0
2666,0
2681,0
2689,0
2696,0
2699,0
2700,0
2707,0
2714,0
2715,0
2716,0
2719,0
2722,0
2724,0
2728,0
2732,0
2734,0
2745,0
2747,0
2753,0
2762,0
2780,0
2790,0
2793,0
2813,0
2819,0
2821,0
2822,0
2829,0
2830,0
2833,0
2834,0
2839,0
2840,0
2856,0
2862,0
2864,0
2865,0
2884,0
2885,0
2892,0
2917,0
2920,0
2922,0
2923,0
2924,0
2925,0
2928,0
2934,0
2942,0
2947,0
2949,0
2973,0
2988,0
2992,0
2999,0
3014,0
3017,0
3021,0
3032,0
3047,0
3049,0
3052,0
3058,0
3059,0
3062,0
3064,0
3072,0
3075,0
3077,0
3083,0
3087,0
3108,0
3123,0
3132,0
3133,0
3135,0
3137,0
3139,0
3146,0
3148,0
3153,0
3158,0
3167,0
3168,0
3179,0
3194,0
3199,0
3200,0
3216,0
3219,0
3220,0
3221,0
3222,0
3223,0
3228,0
3233,0
3247,0
3251,0
3254,0
3261,0
3262,0
3270,0
3279,0
3280,0
3290,0
3294,0
3298,0
3307,0
3328,0
3333,0
3336,0
3337,0
3339,0
3352,0
3370,0
3371,0
3372,0
3380,0
3381,0
3383,0
3396,0
3397,0
3407,0
3410,0
3418,0
3420,0
3426,0
3432,0
3443,0
3452,0
3456,0
3464,0
3473,0
3493,0
3494,0
